"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2015Q1","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","10.2",""
"2015Q1","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage","10.2",""
"2015Q1","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q1","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q1","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q1","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q1","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","10.5",""
"2015Q1","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage","10.5",""
"2015Q1","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage","10.5",""
"2015Q1","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage","11.6",""
"2015Q1","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage","11.6",""
"2015Q1","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage","11.6",""
"2015Q1","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage","11.8",""
"2015Q1","Belgium","Total","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q1","Belgium","Males","From 15 to 74 years","Total","Percentage","9.4",""
"2015Q1","Belgium","Females","From 15 to 74 years","Total","Percentage","8.0",""
"2015Q1","Bulgaria","Total","From 15 to 74 years","Total","Percentage","10.6",""
"2015Q1","Bulgaria","Males","From 15 to 74 years","Total","Percentage","11.4",""
"2015Q1","Bulgaria","Females","From 15 to 74 years","Total","Percentage","9.7",""
"2015Q1","Czech Republic","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2015Q1","Czech Republic","Males","From 15 to 74 years","Total","Percentage","5.2",""
"2015Q1","Czech Republic","Females","From 15 to 74 years","Total","Percentage","6.9",""
"2015Q1","Denmark","Total","From 15 to 74 years","Total","Percentage","6.6",""
"2015Q1","Denmark","Males","From 15 to 74 years","Total","Percentage","6.6",""
"2015Q1","Denmark","Females","From 15 to 74 years","Total","Percentage","6.6",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","5.0",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage","5.5",""
"2015Q1","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage","4.5",""
"2015Q1","Estonia","Total","From 15 to 74 years","Total","Percentage","6.6",""
"2015Q1","Estonia","Males","From 15 to 74 years","Total","Percentage","7.6",""
"2015Q1","Estonia","Females","From 15 to 74 years","Total","Percentage","5.6",""
"2015Q1","Ireland","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2015Q1","Ireland","Males","From 15 to 74 years","Total","Percentage","11.5",""
"2015Q1","Ireland","Females","From 15 to 74 years","Total","Percentage","8.1",""
"2015Q1","Greece","Total","From 15 to 74 years","Total","Percentage","26.7",""
"2015Q1","Greece","Males","From 15 to 74 years","Total","Percentage","23.5",""
"2015Q1","Greece","Females","From 15 to 74 years","Total","Percentage","30.6",""
"2015Q1","Spain","Total","From 15 to 74 years","Total","Percentage","23.8",""
"2015Q1","Spain","Males","From 15 to 74 years","Total","Percentage","22.8",""
"2015Q1","Spain","Females","From 15 to 74 years","Total","Percentage","25.0",""
"2015Q1","France","Total","From 15 to 74 years","Total","Percentage","10.8",""
"2015Q1","France","Males","From 15 to 74 years","Total","Percentage","11.4",""
"2015Q1","France","Females","From 15 to 74 years","Total","Percentage","10.3",""
"2015Q1","Croatia","Total","From 15 to 74 years","Total","Percentage","17.8",""
"2015Q1","Croatia","Males","From 15 to 74 years","Total","Percentage","17.7",""
"2015Q1","Croatia","Females","From 15 to 74 years","Total","Percentage","17.9",""
"2015Q1","Italy","Total","From 15 to 74 years","Total","Percentage","13.0",""
"2015Q1","Italy","Males","From 15 to 74 years","Total","Percentage","12.4",""
"2015Q1","Italy","Females","From 15 to 74 years","Total","Percentage","13.8",""
"2015Q1","Cyprus","Total","From 15 to 74 years","Total","Percentage","17.7",""
"2015Q1","Cyprus","Males","From 15 to 74 years","Total","Percentage","18.1",""
"2015Q1","Cyprus","Females","From 15 to 74 years","Total","Percentage","17.2",""
"2015Q1","Latvia","Total","From 15 to 74 years","Total","Percentage","10.2",""
"2015Q1","Latvia","Males","From 15 to 74 years","Total","Percentage","10.9",""
"2015Q1","Latvia","Females","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q1","Lithuania","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2015Q1","Lithuania","Males","From 15 to 74 years","Total","Percentage","11.1",""
"2015Q1","Lithuania","Females","From 15 to 74 years","Total","Percentage","8.9",""
"2015Q1","Luxembourg","Total","From 15 to 74 years","Total","Percentage","7.3","b"
"2015Q1","Luxembourg","Males","From 15 to 74 years","Total","Percentage","6.3","b"
"2015Q1","Luxembourg","Females","From 15 to 74 years","Total","Percentage","8.5","b"
"2015Q1","Hungary","Total","From 15 to 74 years","Total","Percentage","7.8",""
"2015Q1","Hungary","Males","From 15 to 74 years","Total","Percentage","7.7",""
"2015Q1","Hungary","Females","From 15 to 74 years","Total","Percentage","7.8",""
"2015Q1","Malta","Total","From 15 to 74 years","Total","Percentage","5.7",""
"2015Q1","Malta","Males","From 15 to 74 years","Total","Percentage","5.9",""
"2015Q1","Malta","Females","From 15 to 74 years","Total","Percentage","5.4",""
"2015Q1","Netherlands","Total","From 15 to 74 years","Total","Percentage","7.5",""
"2015Q1","Netherlands","Males","From 15 to 74 years","Total","Percentage","7.1",""
"2015Q1","Netherlands","Females","From 15 to 74 years","Total","Percentage","7.8",""
"2015Q1","Austria","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2015Q1","Austria","Males","From 15 to 74 years","Total","Percentage","6.3",""
"2015Q1","Austria","Females","From 15 to 74 years","Total","Percentage","5.3",""
"2015Q1","Poland","Total","From 15 to 74 years","Total","Percentage","8.6",""
"2015Q1","Poland","Males","From 15 to 74 years","Total","Percentage","8.5",""
"2015Q1","Poland","Females","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q1","Portugal","Total","From 15 to 74 years","Total","Percentage","13.9",""
"2015Q1","Portugal","Males","From 15 to 74 years","Total","Percentage","13.3",""
"2015Q1","Portugal","Females","From 15 to 74 years","Total","Percentage","14.5",""
"2015Q1","Romania","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2015Q1","Romania","Males","From 15 to 74 years","Total","Percentage","8.4",""
"2015Q1","Romania","Females","From 15 to 74 years","Total","Percentage","6.0",""
"2015Q1","Slovenia","Total","From 15 to 74 years","Total","Percentage","9.8",""
"2015Q1","Slovenia","Males","From 15 to 74 years","Total","Percentage","9.0",""
"2015Q1","Slovenia","Females","From 15 to 74 years","Total","Percentage","10.7",""
"2015Q1","Slovakia","Total","From 15 to 74 years","Total","Percentage","12.4",""
"2015Q1","Slovakia","Males","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q1","Slovakia","Females","From 15 to 74 years","Total","Percentage","13.3",""
"2015Q1","Finland","Total","From 15 to 74 years","Total","Percentage","9.7",""
"2015Q1","Finland","Males","From 15 to 74 years","Total","Percentage","10.5",""
"2015Q1","Finland","Females","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q1","Sweden","Total","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q1","Sweden","Males","From 15 to 74 years","Total","Percentage","8.4",""
"2015Q1","Sweden","Females","From 15 to 74 years","Total","Percentage","8.1",""
"2015Q1","United Kingdom","Total","From 15 to 74 years","Total","Percentage","5.5",""
"2015Q1","United Kingdom","Males","From 15 to 74 years","Total","Percentage","5.7",""
"2015Q1","United Kingdom","Females","From 15 to 74 years","Total","Percentage","5.2",""
"2015Q1","Iceland","Total","From 15 to 74 years","Total","Percentage","4.2",""
"2015Q1","Iceland","Males","From 15 to 74 years","Total","Percentage","4.2",""
"2015Q1","Iceland","Females","From 15 to 74 years","Total","Percentage","4.3",""
"2015Q1","Norway","Total","From 15 to 74 years","Total","Percentage","4.2",""
"2015Q1","Norway","Males","From 15 to 74 years","Total","Percentage","4.4",""
"2015Q1","Norway","Females","From 15 to 74 years","Total","Percentage","4.0",""
"2015Q1","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2015Q1","Switzerland","Males","From 15 to 74 years","Total","Percentage","5.0",""
"2015Q1","Switzerland","Females","From 15 to 74 years","Total","Percentage","4.5",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","27.4",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 74 years","Total","Percentage","28.4",""
"2015Q1","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 74 years","Total","Percentage","25.8",""
"2015Q1","Turkey","Total","From 15 to 74 years","Total","Percentage","11.2",""
"2015Q1","Turkey","Males","From 15 to 74 years","Total","Percentage","10.4",""
"2015Q1","Turkey","Females","From 15 to 74 years","Total","Percentage","13.2",""
"2015Q2","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q2","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q2","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q2","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015Q2","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage","9.4",""
"2015Q2","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage","9.4",""
"2015Q2","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2015Q2","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage","9.9",""
"2015Q2","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage","9.9",""
"2015Q2","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015Q2","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage","10.8",""
"2015Q2","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage","11.0",""
"2015Q2","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015Q2","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage","10.8",""
"2015Q2","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage","11.0",""
"2015Q2","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","10.9",""
"2015Q2","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage","10.8",""
"2015Q2","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage","11.1",""
"2015Q2","Belgium","Total","From 15 to 74 years","Total","Percentage","8.4",""
"2015Q2","Belgium","Males","From 15 to 74 years","Total","Percentage","9.3",""
"2015Q2","Belgium","Females","From 15 to 74 years","Total","Percentage","7.2",""
"2015Q2","Bulgaria","Total","From 15 to 74 years","Total","Percentage","9.9",""
"2015Q2","Bulgaria","Males","From 15 to 74 years","Total","Percentage","10.9",""
"2015Q2","Bulgaria","Females","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q2","Czech Republic","Total","From 15 to 74 years","Total","Percentage","4.9",""
"2015Q2","Czech Republic","Males","From 15 to 74 years","Total","Percentage","4.2",""
"2015Q2","Czech Republic","Females","From 15 to 74 years","Total","Percentage","5.9",""
"2015Q2","Denmark","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2015Q2","Denmark","Males","From 15 to 74 years","Total","Percentage","5.8",""
"2015Q2","Denmark","Females","From 15 to 74 years","Total","Percentage","6.3",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","4.7",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage","5.1",""
"2015Q2","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage","4.2",""
"2015Q2","Estonia","Total","From 15 to 74 years","Total","Percentage","6.5",""
"2015Q2","Estonia","Males","From 15 to 74 years","Total","Percentage","6.5",""
"2015Q2","Estonia","Females","From 15 to 74 years","Total","Percentage","6.5",""
"2015Q2","Ireland","Total","From 15 to 74 years","Total","Percentage","9.8",""
"2015Q2","Ireland","Males","From 15 to 74 years","Total","Percentage","11.1",""
"2015Q2","Ireland","Females","From 15 to 74 years","Total","Percentage","8.2",""
"2015Q2","Greece","Total","From 15 to 74 years","Total","Percentage","24.6",""
"2015Q2","Greece","Males","From 15 to 74 years","Total","Percentage","21.6",""
"2015Q2","Greece","Females","From 15 to 74 years","Total","Percentage","28.3",""
"2015Q2","Spain","Total","From 15 to 74 years","Total","Percentage","22.4",""
"2015Q2","Spain","Males","From 15 to 74 years","Total","Percentage","21.0",""
"2015Q2","Spain","Females","From 15 to 74 years","Total","Percentage","24.0",""
"2015Q2","France","Total","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q2","France","Males","From 15 to 74 years","Total","Percentage","10.7",""
"2015Q2","France","Females","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q2","Croatia","Total","From 15 to 74 years","Total","Percentage","15.5",""
"2015Q2","Croatia","Males","From 15 to 74 years","Total","Percentage","15.4",""
"2015Q2","Croatia","Females","From 15 to 74 years","Total","Percentage","15.6",""
"2015Q2","Italy","Total","From 15 to 74 years","Total","Percentage","12.1",""
"2015Q2","Italy","Males","From 15 to 74 years","Total","Percentage","11.7",""
"2015Q2","Italy","Females","From 15 to 74 years","Total","Percentage","12.8",""
"2015Q2","Cyprus","Total","From 15 to 74 years","Total","Percentage","14.6",""
"2015Q2","Cyprus","Males","From 15 to 74 years","Total","Percentage","14.8",""
"2015Q2","Cyprus","Females","From 15 to 74 years","Total","Percentage","14.4",""
"2015Q2","Latvia","Total","From 15 to 74 years","Total","Percentage","9.8",""
"2015Q2","Latvia","Males","From 15 to 74 years","Total","Percentage","11.4",""
"2015Q2","Latvia","Females","From 15 to 74 years","Total","Percentage","8.1",""
"2015Q2","Lithuania","Total","From 15 to 74 years","Total","Percentage","9.4",""
"2015Q2","Lithuania","Males","From 15 to 74 years","Total","Percentage","10.8",""
"2015Q2","Lithuania","Females","From 15 to 74 years","Total","Percentage","8.0",""
"2015Q2","Luxembourg","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2015Q2","Luxembourg","Males","From 15 to 74 years","Total","Percentage","4.8",""
"2015Q2","Luxembourg","Females","From 15 to 74 years","Total","Percentage","6.1",""
"2015Q2","Hungary","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2015Q2","Hungary","Males","From 15 to 74 years","Total","Percentage","6.7",""
"2015Q2","Hungary","Females","From 15 to 74 years","Total","Percentage","7.1",""
"2015Q2","Malta","Total","From 15 to 74 years","Total","Percentage","5.4",""
"2015Q2","Malta","Males","From 15 to 74 years","Total","Percentage","5.6",""
"2015Q2","Malta","Females","From 15 to 74 years","Total","Percentage","5.2",""
"2015Q2","Netherlands","Total","From 15 to 74 years","Total","Percentage","6.9",""
"2015Q2","Netherlands","Males","From 15 to 74 years","Total","Percentage","6.6",""
"2015Q2","Netherlands","Females","From 15 to 74 years","Total","Percentage","7.2",""
"2015Q2","Austria","Total","From 15 to 74 years","Total","Percentage","5.8",""
"2015Q2","Austria","Males","From 15 to 74 years","Total","Percentage","6.2",""
"2015Q2","Austria","Females","From 15 to 74 years","Total","Percentage","5.4",""
"2015Q2","Poland","Total","From 15 to 74 years","Total","Percentage","7.4",""
"2015Q2","Poland","Males","From 15 to 74 years","Total","Percentage","7.4",""
"2015Q2","Poland","Females","From 15 to 74 years","Total","Percentage","7.5",""
"2015Q2","Portugal","Total","From 15 to 74 years","Total","Percentage","12.1",""
"2015Q2","Portugal","Males","From 15 to 74 years","Total","Percentage","12.2",""
"2015Q2","Portugal","Females","From 15 to 74 years","Total","Percentage","11.9",""
"2015Q2","Romania","Total","From 15 to 74 years","Total","Percentage","6.7",""
"2015Q2","Romania","Males","From 15 to 74 years","Total","Percentage","7.6",""
"2015Q2","Romania","Females","From 15 to 74 years","Total","Percentage","5.6",""
"2015Q2","Slovenia","Total","From 15 to 74 years","Total","Percentage","9.2",""
"2015Q2","Slovenia","Males","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q2","Slovenia","Females","From 15 to 74 years","Total","Percentage","10.2",""
"2015Q2","Slovakia","Total","From 15 to 74 years","Total","Percentage","11.2",""
"2015Q2","Slovakia","Males","From 15 to 74 years","Total","Percentage","10.0",""
"2015Q2","Slovakia","Females","From 15 to 74 years","Total","Percentage","12.7",""
"2015Q2","Finland","Total","From 15 to 74 years","Total","Percentage","10.7",""
"2015Q2","Finland","Males","From 15 to 74 years","Total","Percentage","11.2",""
"2015Q2","Finland","Females","From 15 to 74 years","Total","Percentage","10.2",""
"2015Q2","Sweden","Total","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q2","Sweden","Males","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q2","Sweden","Females","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q2","United Kingdom","Total","From 15 to 74 years","Total","Percentage","5.5",""
"2015Q2","United Kingdom","Males","From 15 to 74 years","Total","Percentage","5.7",""
"2015Q2","United Kingdom","Females","From 15 to 74 years","Total","Percentage","5.2",""
"2015Q2","Iceland","Total","From 15 to 74 years","Total","Percentage","5.0",""
"2015Q2","Iceland","Males","From 15 to 74 years","Total","Percentage","4.5",""
"2015Q2","Iceland","Females","From 15 to 74 years","Total","Percentage","5.6",""
"2015Q2","Norway","Total","From 15 to 74 years","Total","Percentage","4.3",""
"2015Q2","Norway","Males","From 15 to 74 years","Total","Percentage","4.8",""
"2015Q2","Norway","Females","From 15 to 74 years","Total","Percentage","3.8",""
"2015Q2","Switzerland","Total","From 15 to 74 years","Total","Percentage","4.5",""
"2015Q2","Switzerland","Males","From 15 to 74 years","Total","Percentage","4.4",""
"2015Q2","Switzerland","Females","From 15 to 74 years","Total","Percentage","4.6",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","26.9",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Males","From 15 to 74 years","Total","Percentage","28.1",""
"2015Q2","Former Yugoslav Republic of Macedonia, the","Females","From 15 to 74 years","Total","Percentage","25.0",""
"2015Q2","Turkey","Total","From 15 to 74 years","Total","Percentage","9.3",""
"2015Q2","Turkey","Males","From 15 to 74 years","Total","Percentage","8.4",""
"2015Q2","Turkey","Females","From 15 to 74 years","Total","Percentage","11.5",""
"2015Q3","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage","9.0",""
"2015Q3","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q3","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage","9.1",""
"2015Q3","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage","8.9",""
"2015Q3","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage","8.7",""
"2015Q3","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage","9.1",""
"2015Q3","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage","9.3",""
"2015Q3","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage","9.2",""
"2015Q3","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage","9.5",""
"2015Q3","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage","10.3",""
"2015Q3","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q3","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage","10.5",""
"2015Q3","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage","10.3",""
"2015Q3","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q3","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage","10.6",""
"2015Q3","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage","10.3",""
"2015Q3","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage","10.1",""
"2015Q3","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage","10.6",""
"2015Q3","Belgium","Total","From 15 to 74 years","Total","Percentage","8.2",""
"2015Q3","Belgium","Males","From 15 to 74 years","Total","Percentage","8.5",""
"2015Q3","Belgium","Females","From 15 to 74 years","Total","Percentage","7.8",""
"2015Q3","Bulgaria","Total","From 15 to 74 years","Total","Percentage","8.3",""
"2015Q3","Bulgaria","Males","From 15 to 74 years","Total","Percentage","8.8",""
"2015Q3","Bulgaria","Females","From 15 to 74 years","Total","Percentage","7.6",""
"2015Q3","Czech Republic","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2015Q3","Czech Republic","Males","From 15 to 74 years","Total","Percentage","3.9",""
"2015Q3","Czech Republic","Females","From 15 to 74 years","Total","Percentage","6.0",""
"2015Q3","Denmark","Total","From 15 to 74 years","Total","Percentage","6.2",""
"2015Q3","Denmark","Males","From 15 to 74 years","Total","Percentage","5.7",""
"2015Q3","Denmark","Females","From 15 to 74 years","Total","Percentage","6.8",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage","4.4",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage","4.8",""
"2015Q3","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage","4.0",""
"2015Q3","Estonia","Total","From 15 to 74 years","Total","Percentage","5.2",""
"2015Q3","Estonia","Males","From 15 to 74 years","Total","Percentage","4.7",""
"2015Q3","Estonia","Females","From 15 to 74 years","Total","Percentage","5.8",""
"2015Q3","Ireland","Total","From 15 to 74 years","Total","Percentage","9.3",""
"2015Q3","Ireland","Males","From 15 to 74 years","Total","Percentage","10.6",""
"2015Q3","Ireland","Females","From 15 to 74 years","Total","Percentage","7.8",""
"2015Q3","Greece","Total","From 15 to 74 years","Total","Percentage","24.1",""
"2015Q3","Greece","Males","From 15 to 74 years","Total","Percentage","20.7",""
"2015Q3","Greece","Females","From 15 to 74 years","Total","Percentage","28.2",""
"2015Q3","Spain","Total","From 15 to 74 years","Total","Percentage","21.2",""
"2015Q3","Spain","Males","From 15 to 74 years","Total","Percentage","19.9",""
"2015Q3","Spain","Females","From 15 to 74 years","Total","Percentage","22.7",""
"2015Q3","France","Total","From 15 to 74 years","Total","Percentage","10.0",""
"2015Q3","France","Males","From 15 to 74 years","Total","Percentage","10.3",""
"2015Q3","France","Females","From 15 to 74 years","Total","Percentage","9.7",""
"2015Q3","Croatia","Total","From 15 to 74 years","Total","Percentage","15.4",""
"2015Q3","Croatia","Males","From 15 to 74 years","Total","Percentage","14.4",""
"2015Q3","Croatia","Females","From 15 to 74 years","Total","Percentage","16.7",""
"2015Q3","Italy","Total","From 15 to 74 years","Total","Percentage","10.6",""
"2015Q3","Italy","Males","From 15 to 74 years","Total","Percentage","10.0",""
"2015Q3","Italy","Females","From 15 to 74 years","Total","Percentage","11.4",""
"2015Q3","Cyprus","Total","From 15 to 74 years","Total","Percentage","14.7",""
